Crop,Temperature_C,Rainfall_mm,Humidity_pct,SoilMoisture_pct,Nitrogen,Phosphorus,Potassium,Soil_pH,LeafSpot,Wilting,Yellowing,SymptomScore,DiseaseRisk,Yield_t_ha
Wheat,21.38965404362805,51.57510082137425,70.79862927631335,79.5167309248971,86.07684791735363,32.293107304897795,27.123937759275066,6.462092996699209,0,0,0,0,Low,3.6308855560746522
Cotton,26.78408506595108,88.847572628551,78.3115767647853,54.24816098388233,63.82456563128731,13.927030831366999,40.51593040671666,6.036050270764991,0,0,0,0,Low,2.451910805549121
Maize,25.060265511488545,88.95903426551327,82.58129447527622,42.821206313302376,94.09293533489945,36.26240877489279,42.32781866106285,7.548881071792418,1,0,0,1,Medium,4.543902387819781
Maize,30.793970906068306,80.84475856103228,79.12052553043796,59.78709899340568,111.16554934929269,35.99826197578924,31.725920575505246,5.996044824659147,0,0,0,0,Low,5.091433510714239
Rice,23.517948604033922,87.61759652714883,98.45648742638102,51.319196266435824,106.77858181437304,41.499737961805906,40.799686263198204,5.180981023985892,0,0,0,0,Medium,4.203287428763359
Rice,27.975874666423223,124.72656663689641,69.46270129027623,81.75365898860473,70.85398715960545,58.98145300911813,39.838833519051576,5.8550524934188335,1,0,0,1,Medium,4.308766054045565
Rice,19.383909166283313,148.6501070281335,77.30430823057839,75.62988152131516,76.78212124531699,27.106289953208076,46.231705839619146,5.840324881953622,0,0,0,0,Low,4.091896314182022
Cotton,22.935614465139,64.72119333195035,49.489404502778605,57.90019818053144,90.47990398199558,32.58507495971994,40.804598690053496,5.485302117837149,0,0,0,0,Low,2.6658083809239885
Maize,35.580119114624374,73.30280554831874,69.73462404178997,65.2089393786942,91.56552569382139,38.70075629268452,30.263379931197637,5.9992275823177845,0,0,0,0,Low,4.294434279722796
Maize,14.647305052864755,44.70591829087344,72.24071977952734,47.33707452087596,93.21716075503242,37.70660858464872,34.50122033237538,6.590270618512413,0,0,0,0,Low,4.961682630077109
Rice,30.24752428819456,77.95217951749414,87.3831201735071,70.1321960058034,73.00169943994499,48.41698587155149,35.59674601841865,5.593848555847721,0,0,0,0,Medium,3.948224606614475
Cotton,25.04245006847128,47.37817499108694,83.41155627688991,32.953312418973994,53.652977842915796,26.65325131850639,43.157665082821595,5.535791124183982,0,0,0,0,Low,3.1179815151271963
Cotton,28.949578602411783,65.87231153885136,68.39049725787278,49.826213697865754,75.32257535635273,43.929716938148694,31.142276486620396,6.582665968804033,0,0,0,0,Low,2.9991300209519607
Rice,24.197154736044226,105.80085325179601,83.10899164479457,58.67328930364013,65.66732625242611,46.9667728977855,58.05574045639953,6.194675368886177,1,0,0,1,Medium,4.272031719961307
Rice,34.494635000081594,137.31614143039886,67.92465336590729,50.38688653002532,83.75326560147778,42.2348194518975,43.17659020469123,5.4008409027655935,0,0,0,0,Low,3.9691678664366514
Rice,33.03590363865061,95.55688864498609,62.71068910300444,86.60950438802513,132.46366382177254,39.25901725361468,38.95320806947719,5.898470238101931,0,0,0,0,Low,4.150652262269905
Wheat,32.52038042220958,52.8866822060577,60.26505932361524,79.23909989428513,79.37020717105469,51.93720572071959,25.730329422122324,7.696846706898311,0,0,0,0,Low,3.7069675294744
Wheat,13.06709882008032,80.1709744575612,65.51130259090456,42.209781662938916,99.16223620448059,37.07645101998362,40.1669851771357,7.040264077840463,0,0,0,0,Low,3.228223297136714
Wheat,22.933281986096638,59.569129117588446,53.9557656659766,66.0736825579306,60.54098227265128,45.478375679996134,31.60444846143345,7.074825383554944,1,0,0,1,Low,3.625571711517119
Rice,22.308818065977874,143.11439024323963,83.48483192901658,74.08459120129807,102.4262671395942,24.632838633172582,31.49415158443143,6.373950250107605,0,0,0,0,Medium,4.3262624119163915
Maize,21.672201974548326,103.00564368408276,66.00877583516375,99.48347185428875,79.9809546147861,53.08046029405931,51.795721457307124,6.012426985065702,0,0,0,0,Low,4.521917112574346
Rice,18.29844764501598,88.43729170377976,89.50885560102861,61.94132880484249,92.01698504336093,34.56973641284285,61.09722755406187,5.434856697549334,0,1,0,1,Medium,4.166095293572563
Rice,28.301258897585182,169.01660307803968,76.15903349498001,68.43390023623026,83.78347052435424,37.00070592755771,31.626128726934823,6.453959092109153,0,1,0,1,High,3.8482068883032983
Wheat,24.581579271813634,78.06768064716721,63.85792083875508,67.15427884302827,67.30620674606394,29.667419433661983,55.57376365032708,7.215811065861654,0,0,0,0,Low,3.4817401657005744
Wheat,22.28639425826207,62.35804937971455,90.11224992642985,71.87816409009245,76.81494990510711,28.815324799153917,18.20680771985473,6.297988478031945,0,0,0,0,Low,3.3596813031925086
Maize,8.336360270579624,52.85508867284274,73.77448556118561,83.08442116929255,111.82974646816984,29.813654720805737,19.606037323359438,6.554401703956147,1,0,0,1,Medium,4.755229544641172
Rice,31.800036103151193,140.7245029898048,89.13580876348607,98.7323848655629,91.99187455429661,43.320423177899904,50.06508966508357,5.35068538095702,0,0,0,0,Medium,4.113632915317747
Wheat,24.679887131442225,22.233352687715268,68.98951762939468,62.369631476428765,93.55947684339769,23.847764292514576,46.95133745517411,6.81749673343568,0,0,0,0,Low,3.60402066596816
Maize,26.735534293724427,76.10540070943988,72.13498992188138,58.30349578174208,107.3253714974759,30.76136230530046,37.32969674146876,5.914933551783455,0,0,0,0,Low,4.675747203066998
Rice,26.41032716850452,70.22471470623891,93.88075900354382,88.98185410999608,64.38211606510244,38.341564109733646,25.701306217591856,5.702242823181926,1,0,0,1,High,3.949991086392654
Maize,18.238630205980975,91.19406122216319,68.90906549842678,74.75301766937991,121.23946592885798,30.369237103064627,20.74474829075261,5.9194505615653155,1,0,0,1,Medium,4.572792703769746
Rice,27.3339279621007,109.95314273993225,78.22726588867108,92.25754132923937,104.09903259100685,41.73967604242617,40.696693573970705,5.67346896042199,0,0,0,0,Low,4.407930371023472
Rice,27.884345263656616,130.59808266694728,97.8412893699442,76.6539645856916,82.82493856293314,58.208463896197344,37.59842049355657,5.013073693835073,0,0,0,0,Medium,4.320500766056502
Cotton,26.7539552209163,67.44144097954128,56.430243408897,55.40447681954623,120.50103032090789,29.53720439793444,40.2352152246566,5.898504079665132,1,0,0,1,Medium,2.8093773267595235
Cotton,27.983788574092443,42.51597683776406,73.65098519633239,80.55097452650726,72.02264487106605,34.24197255095078,32.08382807947552,5.3770458223666395,0,0,0,0,Low,2.7075279850886003
Cotton,28.87934628248485,44.622078896845764,70.85640787320064,72.83324105963527,67.11766930544772,29.995150107635265,32.75510562348253,6.0608000764166,0,0,1,1,Low,2.7040697309630763
Wheat,24.142004911261154,63.65667847927849,74.98688981850167,75.42789830041599,98.89194887574803,31.18288309595489,45.173940656343255,6.80867978258082,0,0,0,0,Low,3.5874669642760617
Rice,22.35790688908429,103.35543877398317,94.42256881293451,87.28029821771858,148.370186330973,41.13033984039101,28.66786592354402,6.214329168207483,1,1,0,2,High,3.851145075656873
Maize,22.841805581594947,35.29115037469303,77.11915533673015,70.98834683907918,79.30264367861128,54.1658808696103,23.742343369976588,6.269341937537081,1,0,0,1,Low,5.076149980889829
Wheat,20.52573633553203,94.17824268526613,61.699547329966215,37.505715791870244,94.40896835178751,37.613471439840154,37.32859892813459,6.0104054714137085,0,0,0,0,Low,3.5702279863831152
Rice,24.52362680769561,100.22428590536286,94.900019211853,77.61668893512832,104.78480278269978,38.66447101122505,45.716987106483444,4.5,0,0,0,0,Low,4.148800274227149
Wheat,24.63281906164988,27.59314669980662,60.211132471864445,78.6158067542255,51.99382429118188,33.54843626550172,11.048424773200146,6.839795640735411,0,0,0,0,Low,3.6784976603469777
Rice,25.431065395164634,107.31633050499457,100.0,73.17547423173926,101.87483814016797,45.870374824719626,48.30283454031842,5.931334037464582,0,0,0,0,Medium,4.018253191759396
Cotton,27.41087812253613,45.23099298029308,68.93229322977447,55.15008419226431,65.40225634827767,34.08362577277821,31.393425936212644,6.748894190501734,1,0,0,1,High,2.772275921112619
Rice,31.986822675318823,92.12206960323832,70.41242880508977,87.19160857593855,86.00229625260467,59.22628218480108,36.09317599236653,5.919588080248848,0,0,1,1,Medium,4.4532985709109685
Maize,28.333344881013584,78.76765661992314,70.7424838946251,58.26618758585306,91.55618782310287,44.04305591427771,25.233394918223343,6.6676243785183,0,0,0,0,Low,4.635620137724084
Wheat,20.711377440331532,62.23277302667657,72.64112829658814,66.8203582317541,109.04680284305564,40.08180871362582,29.558433647093512,7.230247942558597,0,0,0,0,Low,3.684609062130723
Wheat,26.803904377689182,49.2492016509873,56.684582335580075,63.80749938183951,56.995593498145226,21.20633355970748,23.148365010001523,7.5539089985193035,0,0,0,0,Low,3.737734844681432
Wheat,17.90332344670024,104.5535877175748,64.42685478140515,76.72648230487391,35.01069713227568,56.618483153316674,18.10427533236404,5.79503068917371,0,0,0,0,Low,3.610126754290517
Rice,25.862914403995664,123.62585965341913,88.08380604084527,75.16654968323287,94.39364251564311,33.446866352084385,29.294273837382438,5.258650193589123,0,0,0,0,Medium,3.8748964798286605
Cotton,23.54667338543348,88.69696613574075,61.52903535003273,43.26268909692536,85.90093778244193,25.28489990622728,31.053755061459597,5.766285977794988,0,0,0,0,Low,2.8337885151482305
Maize,21.39466535162623,73.40114466033555,71.53136949509394,72.07941999869914,109.71076112207065,43.45574397292176,33.16058189117465,6.520655718979789,0,0,0,0,Low,4.648347418584677
Cotton,24.76716730493861,87.6883362927777,77.72516279941107,53.57575482561958,63.87716876361037,36.510947460014215,21.646529467402427,7.679832020275364,0,0,0,0,Low,2.933905106631915
Cotton,33.51062996931764,103.714724370579,66.94526346800909,34.94578059960519,102.27088486090338,18.832201551142536,33.14383494054847,6.498853911418899,0,0,0,0,Low,2.71407886516896
Maize,26.56042385633374,107.82472570882783,67.76061603887402,59.313083885187694,77.52974354892442,30.8671894237642,29.50722454933993,5.626832853280758,0,0,0,0,Low,4.876032552140472
Cotton,32.63978311294624,70.38793887262564,87.29641544588479,64.93939503071654,54.89314137649631,22.898787088479047,36.949979007768746,7.570598560633121,0,0,0,0,Low,2.858524362958068
Rice,29.42440196600866,94.74518095225395,66.44914053404521,80.54041236054117,92.9979308957234,37.900144265785165,30.644700574102334,6.47985124636574,0,0,1,1,Low,3.8748864144410717
Rice,25.431065395164634,132.16171995376482,95.49755065967167,79.1278063140928,81.51477366867566,44.02808478320161,32.72530676386144,5.99892212198301,1,0,0,1,High,3.8539327056653203
Rice,18.737075821035166,126.17580919207596,58.31820347752269,61.449500907391894,101.99441488155736,64.4369956568951,37.939290884601064,6.261169925948403,1,0,0,1,Medium,4.284661729571994
Wheat,23.557984528152694,68.19107049219286,65.40009789202105,54.39315409915115,58.617569444442836,32.82285548946994,21.634240836437026,7.422187683573793,1,0,0,1,Medium,3.660240486469558
Wheat,27.25593397057791,67.27182673974097,53.56980144414825,62.15528929765071,60.82795406464329,33.25297766080799,25.904877978407168,6.597165783358005,0,0,1,1,Medium,3.517284440461748
Rice,18.88915991627602,100.77635053376638,85.22596245546853,34.67593192210913,100.09938953192282,34.86046295549694,43.40112711683127,5.094625758383162,0,0,0,0,Low,4.375912602695178
Cotton,28.669003557409503,60.58410863540313,60.67283344863059,48.7989600468859,69.01281726625788,35.53374600137939,31.605739810498648,6.501675311084378,0,0,0,0,Low,3.286107513930759
Wheat,16.30212222000784,50.40286927869533,78.88306382110345,60.07238778716291,70.87205790561305,25.46062331241731,44.07809308461002,6.525842483906325,0,0,0,0,Low,3.098375368529676
Rice,24.54189998286383,123.61968811885602,84.0169591175707,55.81632646838807,94.72442271488607,47.213623496409795,39.19580368414153,5.264812082515144,0,0,0,0,Low,4.1482109116453945
Wheat,26.25697974817589,36.016082547489034,63.10559663862861,27.45954515682925,64.25323315862985,15.51263842267198,34.84889892572199,6.813901624228124,1,0,0,1,Medium,3.793542615875196
Rice,30.050666421026712,104.26594902079454,75.33713584696328,100.0,108.35771669616753,44.69363322365843,51.01741289398798,6.658831158199769,0,0,0,0,Low,4.4508857026456905
Cotton,26.96957712329389,69.9809424283723,58.99697652522701,61.55442123568064,61.55513080219035,45.68930192362347,20.190825570397024,5.7696450605719996,0,0,0,0,Low,3.0048519076080806
Rice,31.482214586126172,98.35050805147186,98.51467017151035,56.67283999887235,89.19176290084155,39.742502851904575,51.281941418490575,6.105926505170363,0,0,0,0,Medium,4.433009132355307
Cotton,31.356105629771818,81.0554418102594,67.95130340503626,45.19395197972632,86.02277513394996,32.10666857295059,24.05223745444338,5.79528627958773,0,0,0,0,Low,2.807045721112788
Maize,25.383330140140952,89.94621867586453,63.58614817574168,77.90710232539618,84.99180915184459,42.543219554394696,33.51308873816453,7.184040066810995,0,0,0,0,Low,4.848418314293872
Rice,28.468236018810085,115.66685646487552,81.0551742531043,76.58442374946928,109.62840966159192,47.20119462412359,38.30478850265665,4.979435119440744,1,0,0,1,Medium,4.607598199468132
Rice,29.54479340534195,76.26321929857201,86.19274223371056,89.30012431656799,118.21554957348943,48.05863216142963,36.615440160162265,5.126635970040849,0,0,0,0,Low,4.05966329718002
Cotton,29.172982749176832,37.18882487395125,79.91154329541236,68.79755936307086,66.73645211407336,24.007989521413602,32.77983064742708,7.300145854745459,0,0,0,0,Low,2.9544084747715695
Maize,23.455733331264984,81.22971376595461,65.18795869644248,51.6876173329685,101.00286444089988,36.644501631174094,53.269638512334055,6.080200097911969,1,0,0,1,High,4.552442151222653
